id_sensor,id_maquina,ts,vibracao,temperatura,velocidade_motor,dias_ultima_manutencao,falha,pm2_5,pm10,co_ppm,no2_ppb,o3_ppb,aqi_pm25,qualidade_de_ar
1,10,2025-09-01 08:00:00,84.89,63.15,1348,12,0,16.09,26.15,0.179,22.76,40.98,59,Moderada
1,10,2025-09-01 08:01:00,45.42,54.43,2052,12,0,4.03,6.33,0.939,19.74,3.8,17,Boa
1,10,2025-09-01 08:02:00,44.95,67.28,2372,12,0,22.24,37.74,0.221,28.91,23.21,72,Moderada
1,10,2025-09-01 08:03:00,73.55,56.82,1927,12,0,22.63,30.44,0.861,26.51,29.12,73,Moderada
1,10,2025-09-01 08:04:00,73.09,46.4,2674,12,0,0.0,0.0,0.412,0.0,32.55,0,Boa
1,10,2025-09-01 08:05:00,78.8,49.72,2878,12,1,5.18,7.54,1.104,25.93,21.05,22,Boa
1,10,2025-09-01 08:06:00,61.32,43.73,2868,12,0,10.89,14.18,0.843,10.33,7.76,45,Boa
1,10,2025-09-01 08:07:00,53.87,62.22,2821,12,0,11.24,18.05,0.314,6.11,20.23,47,Boa
1,10,2025-09-01 08:08:00,85.62,59.88,3143,12,1,18.67,27.5,0.351,18.63,20.76,65,Moderada
1,10,2025-09-01 08:09:00,51.81,65.01,2176,12,0,7.23,11.39,0.797,24.42,20.57,30,Boa
1,10,2025-09-01 08:10:00,78.63,48.18,2631,12,0,21.77,37.79,0.545,4.06,41.4,71,Moderada
1,10,2025-09-01 08:11:00,66.21,37.28,3189,12,0,21.54,31.56,0.569,27.44,15.24,71,Moderada
1,10,2025-09-01 08:12:00,47.01,51.33,2899,12,0,15.97,23.28,0.996,27.92,33.47,59,Moderada
1,10,2025-09-01 08:13:00,67.47,45.39,1113,12,0,19.29,29.16,0.396,20.87,31.7,66,Moderada
1,10,2025-09-01 08:14:00,31.93,43.28,3076,12,1,13.57,21.7,0.637,11.52,41.43,54,Moderada
1,10,2025-09-01 08:15:00,56.25,47.25,2492,12,1,7.47,10.79,0.903,10.54,28.23,31,Boa
1,10,2025-09-01 08:16:00,58.64,57.44,2882,12,0,15.52,22.3,0.86,30.61,39.32,58,Moderada
1,10,2025-09-01 08:17:00,69.29,41.77,2337,12,0,9.27,14.89,0.573,5.3,27.73,39,Boa
1,10,2025-09-01 08:18:00,47.22,55.53,2408,12,0,20.05,30.84,0.527,30.93,35.07,68,Moderada
1,10,2025-09-01 08:19:00,69.52,52.69,2214,12,1,10.06,13.03,0.099,18.77,11.76,42,Boa
1,10,2025-09-01 08:20:00,65.82,60.77,3213,12,0,10.2,14.05,0.303,19.44,0.0,42,Boa
1,10,2025-09-01 08:21:00,57.66,64.72,1926,12,0,3.02,4.99,0.713,3.27,34.36,13,Boa
1,10,2025-09-01 08:22:00,38.25,47.51,2497,12,0,22.7,34.96,0.57,18.76,35.06,73,Moderada
1,10,2025-09-01 08:23:00,62.8,47.35,3093,12,0,12.51,17.81,0.641,26.51,35.52,52,Moderada
1,10,2025-09-01 08:24:00,52.94,59.16,2325,12,0,9.55,14.17,0.928,6.95,23.54,40,Boa
1,10,2025-09-01 08:25:00,57.51,52.07,2584,12,0,13.31,19.98,0.261,25.33,47.7,54,Moderada
1,10,2025-09-01 08:26:00,58.96,46.75,2899,12,1,20.66,32.52,0.547,21.24,24.3,69,Moderada
1,10,2025-09-01 08:27:00,67.74,54.98,2670,12,1,16.85,22.99,0.677,13.97,34.85,61,Moderada
1,10,2025-09-01 08:28:00,81.47,41.97,2480,12,0,13.72,19.42,0.413,29.04,36.89,54,Moderada
1,10,2025-09-01 08:29:00,82.3,39.34,2045,12,0,19.39,29.61,1.054,0.0,50.38,66,Moderada
1,10,2025-09-01 08:30:00,55.59,47.37,2323,12,0,32.15,47.91,0.889,23.8,26.03,93,Moderada
1,10,2025-09-01 08:31:00,78.38,47.21,3035,12,0,11.96,18.62,0.711,36.66,21.93,50,Boa
1,10,2025-09-01 08:32:00,56.57,58.78,2653,12,0,11.8,16.25,1.155,34.74,11.85,49,Boa
1,10,2025-09-01 08:33:00,54.99,55.96,2004,12,0,5.05,7.76,0.167,24.23,48.46,21,Boa
1,10,2025-09-01 08:34:00,68.5,60.96,2290,12,0,23.24,37.4,0.618,17.39,34.85,74,Moderada
1,10,2025-09-01 08:35:00,66.66,40.47,3018,12,0,21.35,33.07,0.73,14.04,35.24,70,Moderada
1,10,2025-09-01 08:36:00,56.19,49.58,3009,12,0,14.51,21.97,0.342,17.31,67.23,56,Moderada
1,10,2025-09-01 08:37:00,75.24,50.75,3157,12,0,4.4,6.56,0.713,25.89,33.67,18,Boa
1,10,2025-09-01 08:38:00,81.9,42.83,3439,12,0,6.24,8.84,0.293,12.42,14.13,26,Boa
1,10,2025-09-01 08:39:00,53.3,43.99,2315,12,0,22.08,32.96,0.823,27.89,27.49,72,Moderada
1,10,2025-09-01 08:40:00,61.21,47.5,2756,12,0,19.5,31.71,0.936,41.7,18.12,67,Moderada
1,10,2025-09-01 08:41:00,71.13,49.29,2783,12,0,20.4,30.36,0.703,19.81,25.04,68,Moderada
1,10,2025-09-01 08:42:00,54.5,62.76,2872,12,0,9.02,12.73,0.061,6.88,25.01,38,Boa
1,10,2025-09-01 08:43:00,59.02,46.05,2390,12,0,15.66,22.72,0.328,6.91,22.78,58,Moderada
1,10,2025-09-01 08:44:00,61.76,52.58,2395,12,0,17.75,26.99,0.788,28.14,13.1,63,Moderada
1,10,2025-09-01 08:45:00,60.15,50.26,2138,12,0,15.32,22.41,0.624,19.76,48.93,58,Moderada
1,10,2025-09-01 08:46:00,76.92,51.17,2783,12,0,17.96,27.81,0.0,29.23,33.36,63,Moderada
1,10,2025-09-01 08:47:00,67.96,37.77,2791,12,0,14.46,22.45,0.993,15.07,27.09,56,Moderada
1,10,2025-09-01 08:48:00,75.78,40.19,2655,12,1,21.05,33.44,0.664,28.76,38.86,70,Moderada
1,10,2025-09-01 08:49:00,63.19,54.87,2567,12,0,15.47,25.4,0.373,18.8,35.46,58,Moderada
1,10,2025-09-01 08:50:00,73.46,60.88,2796,12,0,13.62,21.79,0.921,13.12,33.09,54,Moderada
1,10,2025-09-01 08:51:00,48.88,41.15,2076,12,0,17.31,24.35,0.411,16.28,38.07,62,Moderada
1,10,2025-09-01 08:52:00,50.27,39.63,2523,12,0,0.93,1.31,0.409,8.33,31.46,4,Boa
1,10,2025-09-01 08:53:00,56.52,53.39,2641,12,0,10.65,15.89,0.724,40.23,37.87,44,Boa
1,10,2025-09-01 08:54:00,60.02,38.02,1860,12,0,7.53,10.95,1.152,19.4,38.86,31,Boa
1,10,2025-09-01 08:55:00,86.58,43.29,1993,12,1,8.47,11.74,1.113,26.96,31.69,35,Boa
1,10,2025-09-01 08:56:00,61.9,29.87,2008,12,0,10.44,15.2,0.726,15.0,27.17,44,Boa
1,10,2025-09-01 08:57:00,48.4,51.33,3151,12,0,27.19,39.5,0.753,9.77,48.22,83,Moderada
1,10,2025-09-01 08:58:00,66.08,39.22,2950,12,1,8.91,12.77,0.857,18.06,24.07,37,Boa
1,10,2025-09-01 08:59:00,55.26,47.57,1741,12,0,21.35,31.35,0.239,31.34,34.53,70,Moderada
1,10,2025-09-01 09:00:00,60.62,30.86,2314,12,0,0.0,0.0,0.811,15.16,34.79,0,Boa
1,10,2025-09-01 09:01:00,86.02,45.8,2243,12,1,12.42,18.88,0.406,11.81,22.43,52,Moderada
1,10,2025-09-01 09:02:00,75.77,48.92,2689,12,0,14.18,24.78,0.718,22.01,20.08,55,Moderada
1,10,2025-09-01 09:03:00,77.41,55.87,2380,12,0,16.96,25.73,0.555,25.45,25.52,61,Moderada
1,10,2025-09-01 09:04:00,52.34,40.82,2209,12,0,17.62,25.92,0.766,36.74,23.94,63,Moderada
1,10,2025-09-01 09:05:00,70.55,61.21,2005,12,0,19.43,29.16,0.657,23.96,12.29,66,Moderada
1,10,2025-09-01 09:06:00,78.63,64.71,2417,12,0,9.48,14.47,0.0,26.91,21.95,40,Boa
1,10,2025-09-01 09:07:00,52.43,40.52,1897,12,1,10.44,16.11,0.669,27.51,33.04,44,Boa
1,10,2025-09-01 09:08:00,52.94,58.88,3265,12,0,22.15,37.83,0.809,8.79,45.03,72,Moderada
1,10,2025-09-01 09:09:00,64.98,56.6,2035,12,0,9.48,13.43,0.753,10.76,36.46,40,Boa
1,10,2025-09-01 09:10:00,57.06,48.27,3289,12,0,3.8,6.02,0.586,9.5,0.0,16,Boa
1,10,2025-09-01 09:11:00,54.84,34.3,3152,12,1,4.38,6.66,1.109,7.01,37.53,18,Boa
1,10,2025-09-01 09:12:00,77.67,64.25,2413,12,0,7.9,10.61,0.717,28.42,23.07,33,Boa
1,10,2025-09-01 09:13:00,117.03,55.08,2738,12,1,19.7,31.07,0.766,23.6,35.09,67,Moderada
1,10,2025-09-01 09:14:00,59.54,39.61,1417,12,0,12.26,19.94,0.931,21.15,29.65,51,Moderada
1,10,2025-09-01 09:15:00,61.14,36.91,1949,12,1,17.07,24.15,0.727,0.0,27.5,61,Moderada
1,10,2025-09-01 09:16:00,60.3,50.93,2208,12,0,10.69,16.03,0.349,40.92,28.59,45,Boa
1,10,2025-09-01 09:17:00,77.58,53.06,1826,12,1,17.89,23.75,0.0,11.52,29.5,63,Moderada
1,10,2025-09-01 09:18:00,80.87,45.92,2345,12,0,15.24,20.94,0.481,41.0,45.89,58,Moderada
1,10,2025-09-01 09:19:00,50.73,64.26,2445,12,0,11.98,19.22,0.844,5.81,29.61,50,Boa
1,10,2025-09-01 09:20:00,49.53,66.09,2348,12,0,19.76,28.72,0.509,12.17,42.88,67,Moderada
1,10,2025-09-01 09:21:00,54.04,58.99,1865,12,0,8.26,11.47,0.857,0.0,41.12,34,Boa
1,10,2025-09-01 09:22:00,80.22,61.13,2790,12,0,12.84,19.56,0.669,24.1,37.76,53,Moderada
1,10,2025-09-01 09:23:00,78.94,27.03,2113,12,1,10.15,14.69,1.01,9.46,8.32,42,Boa
1,10,2025-09-01 09:24:00,69.98,33.04,1731,12,0,4.53,6.59,0.532,9.69,43.19,19,Boa
1,10,2025-09-01 09:25:00,50.83,48.23,2262,12,0,14.42,22.69,0.756,6.58,24.35,56,Moderada
1,10,2025-09-01 09:26:00,62.64,54.58,1849,12,0,5.68,7.85,0.771,28.15,38.4,24,Boa
1,10,2025-09-01 09:27:00,71.6,60.57,2376,12,0,16.37,23.08,1.072,27.54,18.11,60,Moderada
1,10,2025-09-01 09:28:00,72.07,52.16,2721,12,1,16.28,24.67,0.11,38.55,15.56,60,Moderada
1,10,2025-09-01 09:29:00,53.75,43.28,2317,12,0,16.51,26.37,0.479,13.47,53.56,60,Moderada
1,10,2025-09-01 09:30:00,66.49,49.7,2240,12,0,16.78,27.26,0.875,22.59,18.32,61,Moderada
1,10,2025-09-01 09:31:00,79.45,53.12,3227,12,0,11.02,15.79,1.088,7.58,43.51,46,Boa
1,10,2025-09-01 09:32:00,74.19,48.73,3124,12,0,10.73,17.1,0.694,17.09,31.2,45,Boa
1,10,2025-09-01 09:33:00,53.22,49.83,1401,12,0,11.74,16.69,0.528,15.13,24.8,49,Boa
1,10,2025-09-01 09:34:00,60.8,46.27,1719,12,0,1.32,2.22,0.845,25.01,29.28,6,Boa
1,10,2025-09-01 09:35:00,42.54,58.91,2524,12,0,2.84,3.94,0.873,30.43,14.26,12,Boa
1,10,2025-09-01 09:36:00,74.98,46.74,2114,12,0,4.55,7.43,0.515,30.36,29.61,19,Boa
1,10,2025-09-01 09:37:00,67.68,44.45,2600,12,0,6.77,9.71,0.719,11.98,16.8,28,Boa
1,10,2025-09-01 09:38:00,59.91,33.45,1564,12,0,20.39,34.69,0.972,30.34,25.07,68,Moderada
1,10,2025-09-01 09:39:00,64.71,49.78,2401,12,0,4.8,7.49,1.187,19.95,40.91,20,Boa
1,10,2025-09-01 09:40:00,83.06,52.95,2117,12,0,11.6,16.22,0.848,17.25,32.8,48,Boa
1,10,2025-09-01 09:41:00,36.59,37.83,1807,12,0,26.0,37.64,0.624,13.13,12.1,80,Moderada
1,10,2025-09-01 09:42:00,68.62,49.67,2884,12,0,13.98,22.06,0.604,14.81,40.01,55,Moderada
1,10,2025-09-01 09:43:00,62.37,50.52,3951,12,0,17.17,27.56,0.786,37.8,29.73,62,Moderada
1,10,2025-09-01 09:44:00,26.43,53.87,2656,12,0,4.94,7.37,0.573,23.23,23.41,21,Boa
1,10,2025-09-01 09:45:00,28.15,53.62,2577,12,1,14.16,21.3,0.665,21.92,38.88,55,Moderada
